College Name,City,Primary Conference,Latitude,Longitude
Kansas State University,Manhattan,Big 12 Conference,39.2086412,-96.5884966
Kennesaw State University,Kennesaw,Conference USA,34.0383452,-84.5831053
Kent State University,Kent,Mid-American Conference,41.1442325,-81.3398321
Lafayette College,Easton,Patriot League,40.6986698,-75.209255
Lamar University,Beaumont,Southland Conference,30.0388947,-94.0758929
La Salle University,Philadelphia,Atlantic 10 Conference,40.0376298,-75.1540025
Lehigh University,Bethlehem,Patriot League,40.6068028,-75.3782488
Leland Stanford Junior University,Stanford,Atlantic Coast Conference,37.4313138,-122.1693654
Liberty University,Lynchburg,Conference USA,37.3539467,-79.1531533
Lindenwood University,Saint Charles,Ohio Valley Conference,38.5230861,-90.01096
Lipscomb University,Nashville,Atlantic Sun Conference,36.1050717,-86.7986409
Long Island University,Brooklyn & Brookville,Northeast Conference,40.6911022,-73.9803965
Longwood University,Farmville,Big South Conference,37.3090314,-78.4016795
Louisiana State University,Baton Rouge,Southeastern Conference,30.4062005,-91.1854129
Louisiana Tech University,Ruston,Conference USA,32.5261061,-92.6481217
Loyola Marymount University,Los Angeles,West Coast Conference,33.9687824,-118.4182021
Loyola University Chicago,Chicago,Atlantic 10 Conference,41.9991492,-87.6573094
Loyola University Maryland,Baltimore,Patriot League,39.3483538,-76.6159318
Manhattan University,Riverdale,Metro Atlantic Athletic Conference,40.8125642,-73.9612954
Marist University,Poughkeepsie,Metro Atlantic Athletic Conference,41.722007,-73.9343836
Marquette University,Milwaukee,Big East Conference,43.0374344,-87.9294774
Marshall University,Huntington,Sun Belt Conference,38.4236258,-82.4274024
McNeese State University,Lake Charles,Southland Conference,30.1751363,-93.2112786
Mercer University,Macon,Southern Conference,32.8289341,-83.6506702
Merrimack College,North Andover,Metro Atlantic Athletic Conference,42.6668807,-71.1229218
Miami University,Oxford,Mid-American Conference,39.5094198,-84.7311546
Michigan State University,East Lansing,Big Ten Conference,42.7023794,-84.4803869
Middle Tennessee State University,Murfreesboro,Conference USA,35.8486009,-86.3609036
Mississippi State University,Mississippi State,Southeastern Conference,33.4386876,-88.7943232
Mississippi Valley State University,Itta Bena,Southwestern Athletic Conference,33.5112606,-90.3426333
Missouri State University,Springfield,Conference USA,37.2017202,-93.2807714
Monmouth University,West Long Branch,Coastal Athletic Association,40.2794106,-74.0068022
Montana State University,Bozeman,Big Sky Conference,45.6639222,-111.079277
Morehead State University,Morehead,Ohio Valley Conference,38.1867483,-83.4332396
Morgan State University,Baltimore,Mid-Eastern Athletic Conference,39.3446663,-76.5836094
Mount Saint Mary's University,Emmitsburg,Metro Atlantic Athletic Conference,39.6800,-77.3487
Murray State University,Murray,Missouri Valley Conference,36.6129699,-88.322088
New Jersey Institute of Technology,Newark,America East Conference,40.7421254,-74.1790316
New Mexico State University,Las Cruces,Conference USA,32.2729032,-106.7434927
Niagara University,Niagara University,Metro Atlantic Athletic Conference,43.1366031,-79.0348892
Nicholls State University,Thibodaux,Southland Conference,29.788594,-90.8035083
Norfolk State University,Norfolk,Mid-Eastern Athletic Conference,36.8482215,-76.2629642
North Carolina Agricultural and Technical State University,Greensboro,Coastal Athletic Association,36.0781271,-79.770547
North Carolina Central University,Durham,Mid-Eastern Athletic Conference,35.973209,-78.8975505
North Carolina State University,Raleigh,Atlantic Coast Conference,35.7718497,-78.674087
North Dakota State University,Fargo,Summit League,46.897155,-96.8182654
Northeastern University,Boston,Coastal Athletic Association,42.3351053,-71.0892579
Northern Arizona University,Flagstaff,Big Sky Conference,35.1830867,-111.654961
Northern Illinois University,DeKalb,Mid-American Conference,41.9370934,-88.7826784
Northern Kentucky University,Highland Heights,Horizon League,39.0346853,-84.4659598
Northwestern State University of Louisiana,Natchitoches,Southland Conference,,
Northwestern University,Evanston,Big Ten Conference,42.0557157,-87.6752945
Oakland University,Rochester,Horizon League,42.6666333,-83.2065575
Oklahoma State University–Stillwater,Stillwater,Big 12 Conference,36.1313523,-97.0890651
Old Dominion University,Norfolk,Sun Belt Conference,36.8862699,-76.3097248
Oral Roberts University,Tulsa,Summit League,36.0508252,-95.9521355
Oregon State University,Corvallis,Pac-12 Conference,44.563056,-123.2839234
Pepperdine University,Malibu,West Coast Conference,34.0415,-118.7096
Portland State University,Portland,Big Sky Conference,45.5118121,-122.686121
Prairie View A&M University,Prairie View,Southwestern Athletic Conference,30.0960955,-95.9870007
