College,State,Conference,Latitude,Longitude
Pennsylvania College of Technology,PA,United East Conference,41.2360615,-77.0275145
Penn State Abington,PA,United East Conference,40.115312,-75.1108671
Penn State Altoona,PA,Allegheny Mountain Collegiate Conference,40.5412288,-78.4092511
Penn State Berks,PA,United East Conference,40.359639,-75.9732615
Penn State Erie (Behrend),PA,Allegheny Mountain Collegiate Conference,42.1179708,-79.9827648
Penn State Brandywine,PA,United East Conference,39.926075,-75.4496317
Penn State Harrisburg,PA,United East Conference,40.2030819,-76.7425749
Pfeiffer University,NC,USA South Athletic Conference,35.4864543,-80.2821503
Piedmont University,GA,Collegiate Conference of the South,35.7221452,-81.6878995
University of Pittsburgh at Bradford,PA,Allegheny Mountain Collegiate Conference,,
University of Pittsburgh at Greensburg,PA,Allegheny Mountain Collegiate Conference,40.2756773,-79.5335498
Plymouth State University,NH,Little East Conference,43.7609047,-71.6808714
Pomona-Pitzer Colleges,CA,Southern California Intercollegiate Athletic Conference,,
Pratt Institute,NY,Atlantic East Conference,40.6913383,-73.9630163
Principia College,IL,St. Louis Intercollegiate Athletic Conference,38.6635177,-90.2762879
University of Puget Sound,WA,Northwest Conference,47.261437,-122.4809573
Ramapo College,NJ,New Jersey Athletic Conference,41.0822446,-74.1738235
Randolph College,VA,Old Dominion Athletic Conference,37.4393338,-79.1709349
Randolph–Macon College,VA,Old Dominion Athletic Conference,37.7625105,-77.4795421
University of Redlands,CA,Southern California Intercollegiate Athletic Conference,34.0635976,-117.1638589
Regent University,VA,Coast to Coast Athletic Conference,36.7993207,-76.1944005
Regis College (Massachusetts),MA,Great Northeast Athletic Conference,42.2681514,-71.4339502
Rensselaer Polytechnic Institute,NY,Liberty League,42.7298969,-73.6796678
Rhode Island College,RI,Little East Conference,41.8415962,-71.4628702
Rhodes College,TN,Southern Athletic Association,35.1556438,-89.9889355
Ripon College,WI,Midwest Conference,43.8410236,-88.8539386
Rivier University,NH,Great Northeast Athletic Conference,42.7391231,-71.4546552
Roanoke College,VA,Old Dominion Athletic Conference,37.2486963,-80.0373641
University of Rochester,NY,University Athletic Association,18.4020672,-66.0615926
Rochester Institute of Technology,NY,Liberty League,43.0826701,-77.6729322
Rockford University,IL,Northern Athletics Collegiate Conference,42.2683388,-89.0186734
Roger Williams University,RI,Conference of New England,41.6504681,-71.260233
Rose-Hulman Institute of Technology,IN,Heartland Collegiate Athletic Conference,39.4829201,-87.3241582
Rosemont College,PA,United East Conference,40.0339415,-75.3293406
Rowan University,NJ,New Jersey Athletic Conference,39.7103526,-75.1193267
Rutgers University–Camden,NJ,New Jersey Athletic Conference,39.9483613,-75.1226986
Rutgers University–Newark,NJ,New Jersey Athletic Conference,40.7406871,-74.174889
Russell Sage College,NY,Empire 8,42.7280214,-73.6935695
College of Saint Benedict,MN,Minnesota Intercollegiate Athletic Conference,45.5598215,-94.3182842
St. Catherine University,MN,Minnesota Intercollegiate Athletic Conference,44.924437,-93.1822884
Saint Elizabeth University,NJ,Atlantic East Conference,43.0826175,-75.2680693
St. John Fisher University,NY,Empire 8,43.1150631,-77.5104317
Saint John's University (Minnesota),MN,Minnesota Intercollegiate Athletic Conference,45.5808898,-94.3946325
University of Saint Joseph (Connecticut),CT,Great Northeast Athletic Conference,41.7825213,-72.7312066
St. Joseph's University (Brooklyn),NY,Skyline Conference,40.6904276,-73.9677752
St. Joseph's University (Long Island),NY,Skyline Conference,,
Saint Joseph's College of Maine,ME,Great Northeast Athletic Conference,43.828387,-70.482875
St. Lawrence University,NY,Liberty League,44.5875988,-75.1481253
Saint Mary's College (Indiana),IN,Michigan Intercollegiate Athletic Association,41.7074744,-86.2562801
St. Mary's College of Maryland,MD,United East Conference,38.1903261,-76.4252365
Saint Mary's University of Minnesota,MN,Minnesota Intercollegiate Athletic Conference,44.0453409,-91.6951877
St. Norbert College,WI,Northern Athletics Collegiate Conference,44.4439887,-88.0673452
St. Olaf College,MN,Minnesota Intercollegiate Athletic Conference,44.4641067,-93.1871778
The College of St. Scholastica,MN,Minnesota Intercollegiate Athletic Conference,45.5915423,-94.1959797
University of St. Thomas (Texas),TX,Southern Collegiate Athletic Conference,29.7368368,-95.3941719
Saint Vincent College,PA,Presidents' Athletic Conference,40.2899918,-79.4045864
Salem College,NC,USA South Athletic Conference,36.0861216,-80.2398147
Salem State University,MA,Massachusetts State Collegiate Athletic Conference,42.5023994,-70.8903444
Salisbury University,MD,Coast to Coast Athletic Conference,38.3456921,-75.606895
Salve Regina University,RI,New England Women's and Men's Athletic Conference,41.471202,-71.3004917
Sarah Lawrence College,NY,Skyline Conference,40.9344239,-73.8449773
Schreiner University,TX,Southern Collegiate Athletic Conference,30.0312703,-99.1302465
University of Scranton,PA,Landmark Conference,41.4064465,-75.6577499
University of the South (Sewanee),TN,Southern Athletic Association,35.2044041,-85.9189506
Shenandoah University,VA,Old Dominion Athletic Conference,39.1663054,-78.1587638
Simmons University,MA,Great Northeast Athletic Conference,42.3389354,-71.1004318
Simpson College,IA,American Rivers Conference,41.3662127,-93.5660541
Skidmore College,NY,Liberty League,43.0997374,-73.784111
Smith College,MA,New England Women's and Men's Athletic Conference,42.3162239,-72.6403932
University of Southern Maine,ME,Little East Conference,43.6832708,-70.4496829
Southern Virginia University,VA,USA South Athletic Conference,37.7418153,-79.3403795
Southwestern University,TX,Southern Athletic Association,30.6371513,-97.662741
Spalding University,KY,St. Louis Intercollegiate Athletic Conference,38.2413543,-85.7572006
Springfield College,MA,New England Women's and Men's Athletic Conference,42.1028421,-72.5567149
Stevens Institute of Technology,NJ,MAC Freedom,40.7448096,-74.0252392
Stevenson University,MD,MAC Commonwealth,39.4213601,-76.7014624
Stockton University,NJ,New Jersey Athletic Conference,39.4900756,-74.5340195
Suffolk University,MA,Conference of New England,42.3567011,-71.0610578
Susquehanna University,PA,Landmark Conference,40.7968873,-76.8750374
Swarthmore College,PA,Centennial Conference,39.9029154,-75.3552419
Sweet Briar College,VA,Old Dominion Athletic Conference,37.555329,-79.0833323
Texas Lutheran University,TX,Southern Collegiate Athletic Conference,29.573997,-97.98518
Thiel College,PA,Presidents' Athletic Conference,41.4132185,-80.3857098
Thomas College,ME,North Atlantic Conference,44.5223921,-69.6633478
Transylvania University,KY,Heartland Collegiate Athletic Conference,38.053107,-84.4939872
