College,State,Conference,Latitude,Longitude
Washington College,MD,Centennial Conference,39.218376,-76.0692567
Washington University in St. Louis,MO,University Athletic Association,38.6472402,-90.3084017
Waynesburg University,PA,Presidents' Athletic Conference,39.8992531,-80.1863397
Webster University,MO,St. Louis Intercollegiate Athletic Conference,38.5887875,-90.3443641
Wellesley College,MA,New England Women's and Men's Athletic Conference,42.2917693,-71.3032593
Wentworth Institute of Technology,MA,Conference of New England,42.3365725,-71.095373
Wesleyan College (Georgia),GA,Collegiate Conference of the South,32.8734285,-83.717734
Wesleyan University (Connecticut),CT,New England Small College Athletic Conference,41.5559033,-72.6559884
Western Connecticut State University,CT,Little East Conference,41.4004954,-73.445022
Western New England University,MA,Conference of New England,42.1125825,-72.5147814
Westfield State University,MA,Massachusetts State Collegiate Athletic Conference,42.1339674,-72.7993918
Westminster College (Missouri),MO,St. Louis Intercollegiate Athletic Conference,38.8489337,-91.9568394
Westminster College (Pennsylvania),PA,Presidents' Athletic Conference,41.1182434,-80.3286896
Wheaton College (Illinois),IL,College Conference of Illinois and Wisconsin,41.8696375,-88.0975552
Wheaton College (Massachusetts),MA,New England Women's and Men's Athletic Conference,41.9670817,-71.1830932
Whitman College,WA,Northwest Conference,46.0705767,-118.3303124
Whittier College,CA,Southern California Intercollegiate Athletic Conference,33.9778416,-118.0302178
Whitworth University,WA,Northwest Conference,47.7541813,-117.4178865
Widener University,PA,MAC Commonwealth,39.8606395,-75.3565932
Wilkes University,PA,Landmark Conference,41.2444276,-75.8902922
Willamette University,OR,Northwest Conference,44.9355889,-123.0308129
William Paterson University,NJ,New Jersey Athletic Conference,40.9477244,-74.1962763
William Peace University,NC,USA South Athletic Conference,35.7895729,-78.6372259
William Smith College,NY,Liberty League,42.8570498,-76.9871974
Williams College,MA,New England Small College Athletic Conference,42.7130236,-73.2030082
Wilmington College (Ohio),OH,Ohio Athletic Conference,39.441677,-83.817316
Wilson College,PA,United East Conference,39.9510275,-77.6526181
University of Wisconsin–Eau Claire,WI,Wisconsin Intercollegiate Athletic Conference,44.7655005,-91.5090036
University of Wisconsin–La Crosse,WI,Wisconsin Intercollegiate Athletic Conference,43.8156316,-91.2314611
Wisconsin Lutheran College,WI,Northern Athletics Collegiate Conference,43.0372654,-88.0219466
University of Wisconsin–Oshkosh,WI,Wisconsin Intercollegiate Athletic Conference,44.0252,-88.5510899
University of Wisconsin–Platteville,WI,Wisconsin Intercollegiate Athletic Conference,42.7308539,-90.4951446
University of Wisconsin–River Falls,WI,Wisconsin Intercollegiate Athletic Conference,44.8481427,-92.6193599
University of Wisconsin–Stevens Point,WI,Wisconsin Intercollegiate Athletic Conference,44.5314509,-89.5694714
University of Wisconsin–Stout,WI,Wisconsin Intercollegiate Athletic Conference,44.872426,-91.9255798
University of Wisconsin–Superior,WI,Upper Midwest Athletic Conference,46.7178779,-92.0884228
University of Wisconsin–Whitewater,WI,Wisconsin Intercollegiate Athletic Conference,42.8443596,-88.7436664
Wittenberg University,OH,North Coast Athletic Conference,39.9352591,-83.8130498
College of Wooster,OH,North Coast Athletic Conference,40.8116177,-81.9338583
Worcester Polytechnic Institute,MA,New England Women's and Men's Athletic Conference,42.274315,-71.8084567
Worcester State University,MA,Massachusetts State Collegiate Athletic Conference,42.2677195,-71.8427016
Yeshiva University,NY,Skyline Conference,40.8489807,-73.9298403
York College (CUNY),NY,City University of New York Athletic Conference,40.8156286,-73.9502282
York College of Pennsylvania,PA,MAC Commonwealth,39.9474471,-76.7267984
