College,State,Conference,Unnamed: 3,Latitude,Longitude
LeMoyne–Owen College,TN,Southern Intercollegiate Athletic Conference,,35.1177651,-90.0338729
Lenoir–Rhyne University,NC,South Atlantic Conference,,35.7417476,-81.3267581
Lewis University,IL,Great Lakes Valley Conference,,41.6027723,-88.0822138
Lincoln University (MO),MO,Great Lakes Valley Conference,,38.562723,-92.172487
Lincoln University (PA),PA,Central Intercollegiate Athletic Association,,39.8065518,-75.9287055
Lincoln Memorial University,TN,South Atlantic Conference,,36.5718381,-83.661624
Livingstone College,NC,Central Intercollegiate Athletic Association,,35.6712869,-80.4856795
Lubbock Christian University,TX,Lone Star Conference,,33.5728996,-101.9354401
Lynn University,FL,Sunshine State Conference,,26.3837711,-80.1254028
Malone University,OH,Great Midwest Athletic Conference,,40.8265967,-81.3798006
Mars Hill University,NC,South Atlantic Conference,,35.827147,-82.5529517
University of Mary,ND,Northern Sun Intercollegiate Conference,,46.724869,-100.7516229
Maryville University,MO,Great Lakes Valley Conference,,38.6458826,-90.5043057
McKendree University,IL,Great Lakes Valley Conference,,38.6086808,-89.8152166
Mercy University,NY,East Coast Conference,,40.7496978,-73.9871027
Metropolitan State University of Denver,CO,Rocky Mountain Athletic Conference,,39.7450668,-105.0077431
Michigan Technological University,MI,Great Lakes Intercollegiate Athletic Conference,,47.1099114,-88.5511513
Midwestern State University,TX,Lone Star Conference,,33.8711991,-98.5221296
Miles College,AL,Southern Intercollegiate Athletic Conference,,33.4810986,-86.9091102
Millersville University of Pennsylvania,PA,Pennsylvania State Athletic Conference,,39.9979459,-76.3509768
Minnesota State University,Mankato,MN,Northern Sun Intercollegiate Conference,44.1453537,-93.9977525
Minnesota State University Moorhead,MN,Northern Sun Intercollegiate Conference,,46.8672113,-96.7564324
University of Minnesota Crookston,MN,Northern Sun Intercollegiate Conference,,47.8012259,-96.6067424
University of Minnesota Duluth,MN,Northern Sun Intercollegiate Conference,,46.8203898,-92.0852741
Minot State University,ND,Northern Sun Intercollegiate Conference,,48.2491151,-101.3021308
Mississippi College,MS,Gulf South Conference,,32.3354174,-90.3318824
Missouri University of Science and Technology,MO,Great Lakes Valley Conference,,37.9532435,-91.7742667
Missouri Southern State University,MO,Mid-America Intercollegiate Athletics Association,,37.0958469,-94.4575957
Missouri Western State University,MO,Mid-America Intercollegiate Athletics Association,,39.7582555,-94.7841439
University of Missouri–St. Louis,MO,Great Lakes Valley Conference,,38.7086398,-90.3117145
Molloy University,NY,East Coast Conference,,40.6862712,-73.6271191
Montana State University Billings,MT,Great Northwest Athletic Conference,,45.7970054,-108.5215388
University of Montevallo,AL,Gulf South Conference,,33.1060774,-86.8652375
Morehouse College,GA,Southern Intercollegiate Athletic Conference,,33.7473741,-84.4160951
University of Mount Olive,NC,Conference Carolinas,,35.0959884,-77.0853554
University of Nebraska at Kearney,NE,Mid-America Intercollegiate Athletics Association,,40.6989871,-99.110445
New Mexico Highlands University,NM,Rocky Mountain Athletic Conference,,35.5982253,-105.2227839
Newberry College,SC,South Atlantic Conference,,34.2852622,-81.6216374
Newman University,KS,Mid-America Intercollegiate Athletics Association,,37.6735,-97.3777
University of North Georgia,GA,Peach Belt Conference,,33.8661343,-83.4262405
North Greenville University,SC,Conference Carolinas,,35.070227,-82.3744331
Northeastern State University,OK,Mid-America Intercollegiate Athletics Association,,35.9239099,-94.9681979
Northern Michigan University,MI,Great Lakes Intercollegiate Athletic Conference,,46.5613244,-87.4104799
Northern State University,SD,Northern Sun Intercollegiate Conference,,45.4505464,-98.4825596
Northwest Missouri State University,MO,Mid-America Intercollegiate Athletics Association,,40.3963382,-94.884145
Northwest Nazarene University,ID,Great Northwest Athletic Conference,,43.5610104,-116.565824
Northwestern Oklahoma State University,OK,Great American Conference,,36.7930901,-98.6729427
Northwood University,MI,Great Midwest Athletic Conference,,43.631141,-84.2768041
Nova Southeastern University,FL,Sunshine State Conference,,26.0788018,-80.2435108
Ohio Dominican University,OH,Great Midwest Athletic Conference,,39.9945316,-82.9423587
Oklahoma Baptist University,OK,Great American Conference,,35.364463,-96.933851
Oklahoma Christian University,OK,Lone Star Conference,,35.6127098,-97.4703197
Ouachita Baptist University,AR,Great American Conference,,34.1305473,-93.0521852
Pace University,NY,Northeast-10 Conference,,40.7111164,-74.0048044
Palm Beach Atlantic University,FL,Sunshine State Conference,,26.7035644,-80.052993
University of Wisconsin–Parkside,WI,Great Lakes Intercollegiate Athletic Conference,,42.6468292,-87.8504055
Pittsburg State University,KS,Mid-America Intercollegiate Athletics Association,,37.3904299,-94.6953939
University of Pittsburgh at Johnstown,PA,Pennsylvania State Athletic Conference,,40.2695151,-78.8432012
Point Loma Nazarene University,CA,Pacific West Conference,,32.7169659,-117.2510853
Post University,CT,Central Atlantic Collegiate Conference,,41.5346635,-73.0820163
University of Puerto Rico at Bayamón,PR,Independent,,,
University of Puerto Rico at Mayagüez,PR,Independent,,18.2134782,-67.1495365
University of Puerto Rico at Río Piedras,PR,Independent,,,
Purdue University Northwest,IN,Great Lakes Intercollegiate Athletic Conference,,41.5813509,-87.474601
Queens College,NY,East Coast Conference,,40.74,-73.82
Quincy University,IL,Great Lakes Valley Conference,,39.9554419,-91.3896918
Regis University,CO,Rocky Mountain Athletic Conference,,39.7897111,-105.0313695
Roberts Wesleyan University,NY,East Coast Conference,,43.1257272,-77.7976725
Rockhurst University,MO,Great Lakes Valley Conference,,39.0308157,-94.5706927
Rogers State University,OK,Mid-America Intercollegiate Athletics Association,,36.3186099,-95.6361137
Rollins College,FL,Sunshine State Conference,,28.5925815,-81.3483095
Saginaw Valley State University,MI,Great Lakes Intercollegiate Athletic Conference,,43.5158881,-83.9593131
Saint Anselm College,NH,Northeast-10 Conference,,42.9845198,-71.5080062
St. Cloud State University,MN,Northern Sun Intercollegiate Conference,,45.5478117,-94.1512285
St. Edward's University,TX,Lone Star Conference,,30.2298438,-97.7546488
Saint Leo University,FL,Sunshine State Conference,,28.3385394,-82.2580705
Saint Martin's University,WA,Great Northwest Athletic Conference,,47.0424183,-122.817092
St. Mary's University,TX,Lone Star Conference,,29.4523049,-98.5645515
Saint Michael's College,VT,Northeast-10 Conference,,44.4952594,-73.165594
St. Thomas Aquinas College,NY,East Coast Conference,,41.0418,-73.9358
Salem University,WV,Independent,,39.2888913,-80.5719425
San Francisco State University,CA,California Collegiate Athletic Association,,37.7245167,-122.4799957
Savannah State University,GA,Southern Intercollegiate Athletic Conference,,32.0244257,-81.0624808
Seattle Pacific University,WA,Great Northwest Athletic Conference,,47.6488676,-122.3619664
Seton Hill University,PA,Pennsylvania State Athletic Conference,,40.310888,-79.5568866
Shaw,,,,33.6023471,-90.7712419
